               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   7,            0.084377,            0.042138,             0.12633,             0.67711,               0.625,             0.57796,             0.23426,            0.038852,             0.03243,          0.00024243,            0.093538,           0.0005383,           0.0005383
                   8,            0.041851,            0.035695,            0.015192,             0.67179,               0.625,             0.57796,             0.23426,            0.038854,            0.032405,          0.00024138,            0.092589,           0.0005888,           0.0005888
                   9,            0.085757,            0.034231,            0.065354,             0.67237,               0.625,             0.57796,             0.23426,            0.039016,            0.032392,          0.00023982,            0.091633,           0.0006327,           0.0006327
                  10,            0.039707,            0.030569,            0.031077,             0.67184,               0.625,             0.57796,             0.22744,            0.039318,            0.032363,          0.00023971,             0.09067,             0.00067,             0.00067
                  11,            0.042613,             0.03395,            0.033579,             0.67215,               0.625,             0.57796,             0.21558,            0.039748,            0.032281,          0.00024205,            0.089701,           0.0007007,           0.0007007
                  12,             0.03899,            0.038141,            0.022958,             0.67198,               0.625,             0.57796,             0.21558,            0.040141,            0.032176,          0.00024388,            0.088725,           0.0007248,           0.0007248
                  13,            0.066831,            0.030562,            0.026999,             0.67226,               0.625,             0.57796,             0.21558,             0.04031,            0.032019,          0.00024635,            0.087742,           0.0007423,           0.0007423
                  14,            0.036994,            0.031796,            0.021419,             0.67203,               0.625,             0.57796,             0.21558,            0.040121,            0.031852,          0.00024871,            0.086753,           0.0007532,           0.0007532
                  15,            0.040192,            0.035474,            0.027641,             0.67111,               0.625,             0.57796,             0.22859,              0.0402,            0.031708,          0.00025073,            0.085758,           0.0007575,           0.0007575
                  16,            0.035921,            0.027251,             0.01522,             0.66918,               0.625,             0.57796,              0.2155,            0.040129,             0.03157,          0.00025334,            0.084755,           0.0007552,           0.0007552
                  17,            0.037853,             0.03603,             0.01791,             0.66918,               0.625,             0.57796,              0.2155,            0.040129,             0.03157,          0.00025334,            0.083746,           0.0007463,           0.0007463
                  18,            0.035643,            0.024622,            0.023697,             0.78711,                0.75,             0.75846,             0.25143,            0.040218,            0.031385,          0.00025785,            0.082731,           0.0007308,           0.0007308
                  19,            0.035514,            0.026673,            0.010144,             0.78711,                0.75,             0.75846,             0.25143,            0.040218,            0.031385,          0.00025785,            0.081709,           0.0007087,           0.0007087
                  20,            0.032976,            0.032054,            0.012335,             0.78553,                0.75,             0.75846,             0.25143,            0.040078,            0.031137,          0.00026155,             0.08068,             0.00068,             0.00068
                  21,            0.040034,            0.030404,            0.029594,             0.78553,                0.75,             0.75846,             0.25143,            0.040078,            0.031137,          0.00026155,            0.079645,           0.0006447,           0.0006447
                  22,            0.038685,            0.026804,            0.026042,             0.78474,                0.75,             0.75846,             0.22668,            0.039964,            0.030952,          0.00026507,            0.078603,           0.0006028,           0.0006028
                  23,            0.033937,            0.035978,            0.015139,             0.78474,                0.75,             0.75846,             0.22668,            0.039964,            0.030952,          0.00026507,            0.077554,           0.0005543,           0.0005543
                  24,            0.033824,             0.02932,            0.023802,             0.78122,                0.75,             0.75846,             0.22668,            0.039885,            0.030727,          0.00026982,            0.076499,           0.0004992,           0.0004992
                  25,            0.034605,            0.027322,             0.01033,             0.78122,                0.75,             0.75846,             0.22668,            0.039885,            0.030727,          0.00026982,            0.075438,           0.0004375,           0.0004375
                  26,            0.039207,            0.039137,            0.017472,             0.77575,                0.75,             0.75846,             0.20857,            0.039648,            0.030585,          0.00027358,            0.074369,           0.0003692,           0.0003692
